s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.3105293; -0.6876670; -0.1570786; -0.5987577; 2.0270968; 0.4158923
0.4928980; -4.1819712; -0.2124430; -0.3336561; -0.1897409; 2.1258190; 1.4792407
0.9857961; -3.9976571; 0.2439065; -0.4367559; -0.2272685; 2.4448591; 1.3538684
1.4786941; -3.7609262; 0.6729725; -0.5784498; -0.3153944; 2.7040662; 0.8824474
1.9715922; -3.4592233; 1.0643643; -0.7341894; -0.3085244; 2.8603999; 0.2274219
2.4644902; -3.1032034; 1.4043244; -0.8815020; -0.2921299; 2.8993239; -0.6817248
2.9573883; -2.7008098; 1.6898695; -1.0264536; -0.2999755; 2.7810137; -0.9841302
3.4502863; -2.2610752; 1.9123676; -1.1805695; -0.3284348; 2.6007471; -1.1100113
3.9431844; -1.7912945; 2.0603552; -1.3552251; -0.3836921; 2.3811008; -1.0408601
4.4360824; -1.3025068; 2.1166361; -1.5649540; -0.4790268; 2.1548933; -0.4357083
4.9289805; -0.8149061; 2.0572443; -1.8273857; -0.5833973; 2.0528140; 0.2137571
5.4218785; -0.3631216; 1.8644854; -2.1237951; -0.6140890; 2.1035129; 0.1578097
5.9147766; 0.0114186; 1.5449472; -2.4298527; -0.6072004; 2.1401716; 0.1588799
6.4076746; 0.2739986; 1.1311009; -2.7145326; -0.5348579; 2.1764553; 0.2342009
6.9005726; 0.4280613; 0.6592270; -2.9104977; -0.2027226; 2.2288634; 0.3208375
7.3934707; 0.5230912; 0.1822195; -2.9955095; -0.3296077; 2.2987197; 0.3248991
7.8863687; 0.5472244; -0.3076965; 3.0849138; -0.4419958; 2.3673607; 0.3024858
8.3792668; 0.4665390; -0.7948804; 2.8736646; -0.4035473; 2.4295238; 0.2565932
8.8721648; 0.2912916; -1.2550784; 2.6847691; -0.3662732; 2.4810350; 0.1793024
9.3650629; 0.0351059; -1.6767382; 2.5074834; -0.3554987; 2.5164042; 0.0810736
9.8579609; -0.2902353; -2.0463584; 2.3315717; -0.3617243; 2.5322346; 0.0919499
10.3508590; -0.6759318; -2.3520611; 2.1493828; -0.3741872; 2.5500698; 0.0269630
10.8437570; -1.1111291; -2.5810074; 1.9578010; -0.4056847; 2.5552761; 0.0463683
11.3366551; -1.5826520; -2.7191729; 1.7534878; -0.4038776; 2.5642047; 0.0302282
11.8295531; -2.0731752; -2.7618747; 1.5639795; -0.3752281; 2.5700087; -0.5671820
12.3224512; -2.5637107; -2.7129982; 1.3781598; -0.3850502; 2.4588247; -0.3454546
12.8153492; -3.0359044; -2.5734573; 1.1884905; -0.3873226; 2.3885709; -0.6599049
13.3082472; -3.4731114; -2.3462412; 0.9921600; -0.4167342; 2.2482748; -0.7973016
13.8011453; -3.8536317; -2.0342824; 0.7700349; -0.4904740; 2.0660984; -0.6404828
14.2940433; -4.1469613; -1.6406575; 0.5007457; -0.6124404; 1.9071909; -0.0590339
14.7869414; -4.3104683; -1.1754173; 0.1662122; -0.6935354; 1.8918726; 0.5375751
15.2798394; -4.3105293; -0.6876670; -0.1570786; -0.5987577; 2.0270968; 0.4158923
